pair,buy_tp_above_yh_pips,sell_tp_after_buytp_below_yh_pips,sell_sl_above_yh_pips,shared_selltp_buysl_offset_from_yl_pips,traded_days,total_pips,raw_pips_per_day,total_weighted_pips,weighted_pips_per_day_per_100_units
EURJPY,15,25,400,-20,55,-1466.3,-2.0086,-195473.0,-2.6777
EURJPY,15,25,400,-10,55,-1161.3,-1.5908,-149508.0,-2.0481
EURJPY,15,25,400,0,55,-865.1,-1.1851,-107771.0,-1.4763
EURJPY,15,25,400,10,55,-985.1,-1.3495,-123734.0,-1.695
EURJPY,15,25,400,20,55,-1036.3,-1.4196,-124525.0,-1.7058
EURJPY,15,30,150,-20,55,-867.7,-1.1886,-117655.0,-1.6117
EURJPY,15,30,150,-10,55,-822.7,-1.127,-105490.0,-1.4451
EURJPY,15,30,150,0,55,-462.7,-0.6338,-55459.0,-0.7597
EURJPY,15,30,150,10,55,-597.7,-0.8188,-73372.0,-1.0051
EURJPY,15,30,150,20,55,-732.7,-1.0037,-85057.0,-1.1652
EURJPY,15,30,200,-20,55,-1014.8,-1.3901,-136778.0,-1.8737
EURJPY,15,30,200,-10,55,-919.8,-1.26,-118113.0,-1.618
EURJPY,15,30,200,0,55,-639.8,-0.8764,-78482.0,-1.0751
EURJPY,15,30,200,10,55,-774.8,-1.0614,-96395.0,-1.3205
EURJPY,15,30,200,20,55,-859.8,-1.1778,-101580.0,-1.3915
EURJPY,15,30,250,-20,55,-1159.5,-1.5884,-155589.0,-2.1314
