buy_tp_above_yh_pips,sell_sl_above_yh_pips,sell_tp_after_buy_below_yh_pips,above_pivot_days,closed_legs,weighted_total_pips,weighted_buy_pips,weighted_sell_pips,cal_ppd_weighted
10,50,10,3430,6860,-9668.668,-7943.5,-1725.168,-1.3712
50,150,40,3430,6860,-9678.623,-7157.8,-2520.823,-1.3727
50,400,20,3430,6860,-9679.131,-7157.8,-2521.331,-1.3727
30,250,30,3430,6860,-9692.905,-7798.7,-1894.205,-1.3747
30,150,10,3430,6860,-9706.748,-7798.7,-1908.048,-1.3766
10,300,75,3430,6860,-9734.708,-7943.5,-1791.208,-1.3806
40,200,0,3430,6860,-9765.601,-8894.0,-871.601,-1.385
50,400,100,3430,6860,-9770.317,-7157.8,-2612.517,-1.3857
0,50,20,3430,6860,-9774.559,-9785.1,10.541,-1.3863
50,300,50,3430,6860,-9788.859,-7157.8,-2631.059,-1.3883
50,300,20,3430,6860,-9808.671,-7157.8,-2650.871,-1.3911
40,400,30,3430,6860,-9809.67,-8894.0,-915.67,-1.3912
75,200,75,3430,6860,-9825.698,-6374.6,-3451.098,-1.3935
50,400,40,3430,6860,-9828.737,-7157.8,-2670.937,-1.3939
10,250,75,3430,6860,-9834.53,-7943.5,-1891.03,-1.3948
50,200,0,3430,6860,-9836.103,-7157.8,-2678.303,-1.395
50,250,20,3430,6860,-9838.643,-7157.8,-2680.843,-1.3954
40,150,20,3430,6860,-9841.801,-8894.0,-947.801,-1.3958
50,250,50,3430,6860,-9856.931,-7157.8,-2699.131,-1.3979
